Start word,Number of won games,Total games,Percentage of won games,Average number of rounds
storm,2307,2314,99.70,3.64
brunt,2307,2314,99.70,3.65
clamp,2307,2314,99.70,3.65
cramp,2307,2314,99.70,3.65
frond,2307,2314,99.70,3.65
rabid,2307,2314,99.70,3.65
scold,2307,2314,99.70,3.65
serif,2307,2314,99.70,3.65
tardy,2307,2314,99.70,3.65
topic,2307,2314,99.70,3.65
clank,2307,2314,99.70,3.66
crank,2307,2314,99.70,3.66
daily,2307,2314,99.70,3.66
porch,2307,2314,99.70,3.66
raspy,2307,2314,99.70,3.66
sprig,2307,2314,99.70,3.66
drank,2307,2314,99.70,3.67
drawn,2307,2314,99.70,3.67
focal,2307,2314,99.70,3.67
fruit,2307,2314,99.70,3.67
march,2307,2314,99.70,3.67
plush,2307,2314,99.70,3.67
scrum,2307,2314,99.70,3.67
slick,2307,2314,99.70,3.67
swirl,2307,2314,99.70,3.67
twirl,2307,2314,99.70,3.67
wrath,2307,2314,99.70,3.67
basic,2307,2314,99.70,3.68
filth,2307,2314,99.70,3.68
manly,2307,2314,99.70,3.68
pinch,2307,2314,99.70,3.68
reply,2307,2314,99.70,3.68
badly,2307,2314,99.70,3.69
belch,2307,2314,99.70,3.69
flash,2307,2314,99.70,3.69
graph,2307,2314,99.70,3.69
midge,2307,2314,99.70,3.69
stump,2307,2314,99.70,3.69
swath,2307,2314,99.70,3.69
swept,2307,2314,99.70,3.69
wield,2307,2314,99.70,3.69
bowel,2307,2314,99.70,3.70
briny,2307,2314,99.70,3.70
godly,2307,2314,99.70,3.70
leafy,2307,2314,99.70,3.70
music,2307,2314,99.70,3.70
scrub,2307,2314,99.70,3.70
dimly,2307,2314,99.70,3.71
growl,2307,2314,99.70,3.71
harpy,2307,2314,99.70,3.71
nobly,2307,2314,99.70,3.71
plunk,2307,2314,99.70,3.71
shirk,2307,2314,99.70,3.71
spike,2307,2314,99.70,3.71
spoke,2307,2314,99.70,3.71
flank,2307,2314,99.70,3.72
flask,2307,2314,99.70,3.72
swamp,2307,2314,99.70,3.72
welsh,2307,2314,99.70,3.72
whirl,2307,2314,99.70,3.72
frisk,2307,2314,99.70,3.73
imply,2307,2314,99.70,3.73
rumba,2307,2314,99.70,3.73
salad,2307,2314,99.70,3.73
elbow,2307,2314,99.70,3.74
pubic,2307,2314,99.70,3.74
smock,2307,2314,99.70,3.74
speck,2307,2314,99.70,3.74
flunk,2307,2314,99.70,3.75
lynch,2307,2314,99.70,3.75
sloop,2307,2314,99.70,3.75
trust,2307,2314,99.70,3.75
small,2307,2314,99.70,3.76
umbra,2307,2314,99.70,3.76
belie,2307,2314,99.70,3.77
dumpy,2307,2314,99.70,3.77
newly,2307,2314,99.70,3.77
basal,2307,2314,99.70,3.78
bleed,2307,2314,99.70,3.78
bliss,2307,2314,99.70,3.78
smell,2307,2314,99.70,3.78
milky,2307,2314,99.70,3.79
scoop,2307,2314,99.70,3.79
bulky,2307,2314,99.70,3.81
gloom,2307,2314,99.70,3.81
spasm,2307,2314,99.70,3.81
twist,2307,2314,99.70,3.81
alpha,2307,2314,99.70,3.83
floss,2307,2314,99.70,3.83
sweep,2307,2314,99.70,3.84
swoop,2307,2314,99.70,3.84
billy,2307,2314,99.70,3.85
rabbi,2307,2314,99.70,3.85
spoof,2307,2314,99.70,3.85
hilly,2307,2314,99.70,3.87
filly,2307,2314,99.70,3.88
macaw,2307,2314,99.70,3.88
plane,2306,2314,99.65,3.57
spilt,2306,2314,99.65,3.57
cairn,2306,2314,99.65,3.58
coast,2306,2314,99.65,3.58
lapse,2306,2314,99.65,3.58
plant,2306,2314,99.65,3.58
shalt,2306,2314,99.65,3.58
slept,2306,2314,99.65,3.58
tapir,2306,2314,99.65,3.58
dance,2306,2314,99.65,3.59
smart,2306,2314,99.65,3.59
spelt,2306,2314,99.65,3.59
trend,2306,2314,99.65,3.59
plain,2306,2314,99.65,3.60
slope,2306,2314,99.65,3.60
spire,2306,2314,99.65,3.60
stain,2306,2314,99.65,3.60
stern,2306,2314,99.65,3.60
strip,2306,2314,99.65,3.60
cable,2306,2314,99.65,3.61
decal,2306,2314,99.65,3.61
metal,2306,2314,99.65,3.61
gland,2306,2314,99.65,3.62
moral,2306,2314,99.65,3.62
pecan,2306,2314,99.65,3.62
point,2306,2314,99.65,3.62
realm,2306,2314,99.65,3.62
scorn,2306,2314,99.65,3.62
smelt,2306,2314,99.65,3.62
smile,2306,2314,99.65,3.62
tulip,2306,2314,99.65,3.62
adept,2306,2314,99.65,3.63
cause,2306,2314,99.65,3.63
could,2306,2314,99.65,3.63
flirt,2306,2314,99.65,3.63
grand,2306,2314,99.65,3.63
noble,2306,2314,99.65,3.63
ranch,2306,2314,99.65,3.63
retch,2306,2314,99.65,3.63
thorn,2306,2314,99.65,3.63
cabin,2306,2314,99.65,3.64
caput,2306,2314,99.65,3.64
crash,2306,2314,99.65,3.64
model,2306,2314,99.65,3.64
shard,2306,2314,99.65,3.64
